Data Set 3:Time(s),Data Set 3:615 nm,Data Set 3:525 nm,Data Set 3:465 nm
0.00,0.703569,1.785077,3.128476
0.05,0.703569,1.785077,3.128476
0.10,0.703569,1.785077,3.128476
0.15,0.703569,1.785077,3.128476
0.20,0.703569,1.785077,3.128476
0.25,0.703569,1.785077,3.128476
0.30,0.703569,1.785077,3.128476
0.35,0.703569,1.785077,3.128476
0.40,0.703569,1.785077,3.128476
0.45,0.703569,1.785077,3.128476
0.50,0.703569,1.785077,3.128476
0.55,0.703569,1.785077,3.128476
0.60,0.879461,1.983419,1.738042
0.65,0.879461,1.983419,1.738042
0.70,0.703569,1.785077,3.128476
0.75,0.703569,1.785077,3.128476
0.80,0.703569,1.785077,3.128476
0.85,0.703569,1.785077,3.128476
0.90,0.703569,1.785077,3.128476
0.95,0.703569,1.785077,3.128476
1.00,0.703569,1.785077,3.128476
1.05,0.703569,1.785077,3.128476
1.10,0.703569,1.785077,3.128476
1.15,0.703569,1.785077,3.128476
1.20,0.703569,1.785077,3.128476
1.25,0.703569,1.785077,3.128476
1.30,0.703569,1.785077,3.128476
1.35,0.703569,1.785077,3.128476
1.40,0.703569,1.785077,3.128476
1.45,0.703569,1.785077,3.128476
1.50,0.703569,1.785077,3.128476
1.55,0.703569,1.785077,3.128476
1.60,0.703569,1.785077,3.128476
1.65,0.703569,1.785077,3.128476
1.70,0.703569,1.785077,3.128476
1.75,0.703569,1.785077,3.128476
1.80,0.879461,1.983419,1.738042
1.85,0.879461,1.983419,1.738042
1.90,0.703569,1.785077,3.128476
1.95,0.703569,1.785077,3.128476
2.00,0.879461,1.983419,1.738042
2.05,0.879461,1.983419,1.738042
2.10,0.703569,1.785077,3.128476
2.15,0.703569,1.785077,3.128476
2.20,0.879461,1.983419,1.738042
2.25,0.879461,1.983419,1.738042
2.30,0.879461,1.983419,1.738042
2.35,0.879461,1.983419,1.738042
2.40,0.703569,1.785077,3.128476
2.45,0.703569,1.785077,3.128476
2.50,0.703569,1.785077,3.128476
2.55,0.703569,1.785077,3.128476
2.60,0.703569,1.785077,3.128476
2.65,0.703569,1.785077,3.128476
2.70,0.703569,1.785077,3.128476
2.75,0.703569,1.785077,3.128476
2.80,0.527677,2.578444,2.780868
2.85,0.527677,2.578444,2.780868
2.90,0.527677,2.578444,2.780868
2.95,0.527677,2.578444,2.780868
3.00,0.527677,2.578444,2.780868
3.05,0.527677,2.578444,2.780868
3.10,0.527677,2.578444,2.780868
3.15,0.527677,2.578444,2.780868
3.20,0.527677,2.578444,2.780868
3.25,0.527677,2.578444,2.780868
3.30,0.527677,2.578444,2.780868
3.35,0.527677,2.578444,2.780868
3.40,0.527677,2.578444,2.780868
3.45,0.527677,2.578444,2.780868
3.50,0.351785,2.380103,4.171302
3.55,0.351785,2.380103,4.171302
3.60,0.351785,2.380103,4.171302
3.65,0.351785,2.380103,4.171302
3.70,0.351785,2.380103,4.171302
3.75,0.351785,2.380103,4.171302
3.80,1.055354,2.181761,3.823693
3.85,1.055354,2.181761,3.823693
3.90,0.351785,2.380103,4.171302
3.95,0.351785,2.380103,4.171302
4.00,1.055354,2.181761,3.823693
4.05,1.055354,2.181761,3.823693
4.10,1.055354,2.181761,3.823693
4.15,1.055354,2.181761,3.823693
4.20,0.879461,1.983419,5.214127
4.25,0.879461,1.983419,5.214127
4.30,0.879461,1.983419,5.214127
4.35,0.879461,1.983419,5.214127
4.40,0.527677,2.578444,6.256952
4.45,0.527677,2.578444,6.256952
4.50,0.527677,2.578444,6.256952
4.55,0.527677,2.578444,6.256952
4.60,0.527677,2.578444,6.256952
4.65,0.527677,2.578444,6.256952
4.70,0.351785,2.380103,7.647387
4.75,0.351785,2.380103,7.647387
4.80,0.351785,2.380103,7.647387
4.85,0.351785,2.380103,7.647387
4.90,0.351785,2.380103,7.647387
4.95,0.351785,2.380103,7.647387
5.00,0.175892,2.181761,9.037820
5.05,0.175892,2.181761,9.037820
5.10,0.175892,2.181761,9.037820
5.15,0.175892,2.181761,9.037820
5.20,0.175892,2.181761,9.037820
5.25,0.175892,2.181761,9.037820
5.30,0.175892,2.181761,9.037820
5.35,0.175892,2.181761,9.037820
5.40,0.000000,1.983419,10.428254
5.45,0.000000,1.983419,10.428254
5.50,0.000000,1.983419,10.428254
5.55,0.000000,1.983419,10.428254
5.60,0.000000,2.578444,11.471080
5.65,0.000000,2.578444,11.471080
5.70,0.000000,2.578444,11.471080
5.75,0.000000,2.578444,11.471080
5.80,0.000000,2.975128,13.904339
5.85,0.000000,2.975128,13.904339
5.90,0.000000,2.975128,13.904339
5.95,0.000000,2.975128,13.904339
6.00,0.000000,3.371812,14.599555
6.05,0.000000,3.371812,14.599555
6.10,0.000000,2.975128,17.380424
6.15,0.000000,2.975128,17.380424
6.20,0.000000,2.776787,18.770857
6.25,0.000000,2.776787,18.770857
6.30,0.000000,2.578444,20.161291
6.35,0.000000,2.578444,20.161291
6.40,0.000000,3.173470,21.204117
6.45,0.000000,3.173470,21.204117
6.50,0.000000,2.975128,22.594551
6.55,0.000000,2.975128,22.594551
6.60,0.000000,2.776787,23.984985
6.65,0.000000,2.776787,23.984985
6.70,0.000000,2.578444,23.637377
6.75,0.000000,2.578444,23.637377
6.80,0.000000,3.173470,26.418243
6.85,0.000000,3.173470,26.418243
6.90,0.000000,3.570154,27.113461
6.95,0.000000,3.570154,27.113461
7.00,0.000000,3.371812,28.503895
7.05,0.000000,3.371812,28.503895
7.10,0.000000,3.570154,30.589546
7.15,0.000000,3.570154,30.589546
7.20,0.000000,3.768496,34.413239
7.25,0.000000,3.768496,34.413239
7.30,0.000000,3.966838,36.498890
7.35,0.000000,3.966838,36.498890
7.40,0.000000,4.561864,41.017799
7.45,0.000000,4.561864,41.017799
7.50,0.000000,4.363521,42.408234
7.55,0.000000,4.363521,42.408234
7.60,0.000000,5.156889,42.060627
7.65,0.000000,5.156889,42.060627
7.70,0.000000,4.760206,43.103451
7.75,0.000000,4.760206,43.103451
7.80,0.000000,4.561864,44.493885
7.85,0.000000,4.561864,44.493885
7.90,0.000000,4.958548,45.189102
7.95,0.000000,4.958548,45.189102
8.00,0.000000,4.958548,45.189102
8.05,0.000000,4.958548,45.189102
8.10,0.000000,5.355231,47.622360
8.15,0.000000,5.355231,47.622360
8.20,0.000000,5.950257,52.141270
8.25,0.000000,5.950257,52.141270
8.30,0.000000,5.156889,50.750839
8.35,0.000000,5.156889,50.750839
8.40,0.000000,5.355231,52.836487
8.45,0.000000,5.355231,52.836487
8.50,0.000000,5.355231,52.836487
8.55,0.000000,5.355231,52.836487
8.60,0.000000,5.355231,52.836487
8.65,0.000000,5.355231,52.836487
8.70,0.000000,5.751914,53.531704
8.75,0.000000,5.751914,53.531704
8.80,0.000000,5.751914,53.531704
8.85,0.000000,5.751914,53.531704
8.90,0.000000,5.751914,51.793659
8.95,0.000000,5.751914,51.793659
9.00,0.000000,6.346940,52.836487
9.05,0.000000,6.346940,52.836487
9.10,0.000000,6.941966,52.141270
9.15,0.000000,6.941966,52.141270
9.20,0.000000,7.536993,53.184097
9.25,0.000000,7.536993,53.184097
9.30,0.000000,7.140309,54.226921
9.35,0.000000,7.140309,54.226921
9.40,0.000000,7.140309,54.226921
9.45,0.000000,7.140309,54.226921
9.50,0.000000,7.735333,55.269745
9.55,0.000000,7.735333,55.269745
9.60,0.000000,7.735333,55.269745
9.65,0.000000,7.735333,55.269745
9.70,0.000000,7.933676,53.879314
9.75,0.000000,7.933676,53.879314
9.80,0.000000,7.933676,52.141270
9.85,0.000000,7.933676,52.141270
9.90,0.000000,8.132018,55.964966
9.95,0.000000,8.132018,55.964966
10.00,0.000000,8.925385,53.879314
10.05,0.000000,8.925385,53.879314
10.10,0.000000,9.322068,56.312576
10.15,0.000000,9.322068,56.312576
10.20,0.175893,9.123728,55.964966
10.25,0.175893,9.123728,55.964966
10.30,0.175893,9.123728,55.964966
10.35,0.175893,9.123728,55.964966
10.40,0.175893,10.115438,57.703007
10.45,0.175893,10.115438,57.703007
10.50,0.351784,9.322068,58.050617
10.55,0.351784,9.322068,58.050617
10.60,0.527677,10.512121,58.398220
10.65,0.527677,10.512121,58.398220
10.70,0.000000,10.710462,62.221916
10.75,0.000000,10.710462,62.221916
10.80,0.175893,11.107147,62.917133
10.85,0.175893,11.107147,62.917133
10.90,0.000000,12.495540,67.088432
10.95,0.000000,12.495540,67.088432
11.00,0.000000,12.495540,67.088432
11.05,0.000000,12.495540,67.088432
11.10,0.703568,11.702171,65.697998
11.15,0.703568,11.702171,65.697998
11.20,0.703568,11.702171,65.697998
11.25,0.703568,11.702171,65.697998
11.30,0.703568,11.702171,65.697998
11.35,0.703568,11.702171,65.697998
11.40,0.703568,11.702171,65.697998
11.45,0.703568,11.702171,65.697998
11.50,0.703568,11.702171,65.697998
11.55,0.703568,11.702171,65.697998
11.60,0.703568,11.702171,65.697998
11.65,0.703568,11.702171,65.697998
11.70,0.703568,11.702171,65.697998
11.75,0.703568,11.702171,65.697998
11.80,0.703568,11.702171,65.697998
11.85,0.703568,11.702171,65.697998
11.90,0.703568,11.702171,65.697998
11.95,0.703568,11.702171,65.697998
12.00,0.703568,11.702171,65.697998
12.05,0.703568,11.702171,65.697998
12.10,0.703568,11.702171,65.697998
12.15,0.703568,11.702171,65.697998
12.20,0.703568,11.702171,65.697998
12.25,0.703568,11.702171,65.697998
12.30,0.703568,11.702171,65.697998
12.35,0.703568,11.702171,65.697998
12.40,0.703568,11.702171,65.697998
12.45,0.703568,11.702171,65.697998
12.50,0.703568,11.702171,65.697998
12.55,0.703568,11.702171,65.697998
12.60,0.703568,11.702171,65.697998
12.65,0.703568,11.702171,65.697998
12.70,0.351784,11.305488,65.002785
12.75,0.351784,11.305488,65.002785
12.80,0.000000,12.297197,65.002785
12.85,0.000000,12.297197,65.002785
12.90,0.000000,12.297197,63.264744
12.95,0.000000,12.297197,63.264744
13.00,0.000000,12.693880,65.697998
13.05,0.000000,12.693880,65.697998
13.10,0.000000,13.685590,67.436043
13.15,0.000000,13.685590,67.436043
13.20,0.000000,14.280616,68.478874
13.25,0.000000,14.280616,68.478874
13.30,0.000000,15.470668,65.350388
13.35,0.000000,15.470668,65.350388
13.40,0.000000,17.652428,67.436043
13.45,0.000000,17.652428,67.436043
13.50,0.000000,17.652428,67.436043
13.55,0.000000,17.652428,67.436043
13.60,0.000000,19.437506,68.826477
13.65,0.000000,19.437506,68.826477
13.70,0.000000,21.619267,67.436043
13.75,0.000000,21.619267,67.436043
13.80,0.000000,23.404345,70.564514
13.85,0.000000,23.404345,70.564514
13.90,0.000000,26.974499,68.131264
13.95,0.000000,26.974499,68.131264
14.00,0.000000,27.569523,69.174088
14.05,0.000000,27.569523,69.174088
14.10,0.000000,30.742994,69.521698
14.15,0.000000,30.742994,69.521698
14.20,0.000000,33.916466,71.607346
14.25,0.000000,33.916466,71.607346
14.30,0.000000,34.313145,72.302559
14.35,0.000000,34.313145,72.302559
14.40,0.000000,35.304855,70.564514
14.45,0.000000,35.304855,70.564514
14.50,0.000000,37.883301,71.607346
14.55,0.000000,37.883301,71.607346
14.60,0.000000,38.676670,69.521698
14.65,0.000000,38.676670,69.521698
14.70,0.000000,41.453457,70.912125
14.75,0.000000,41.453457,70.912125
14.80,0.000000,42.643509,71.259735
14.85,0.000000,42.643509,71.259735
14.90,0.000000,44.626926,71.259735
14.95,0.000000,44.626926,71.259735
15.00,0.000000,46.808689,71.607346
15.05,0.000000,46.808689,71.607346
15.10,0.000000,48.197079,70.564514
15.15,0.000000,48.197079,70.564514
15.20,0.000000,48.593765,71.259735
15.25,0.000000,48.593765,71.259735
15.30,0.000000,49.982159,71.954956
15.35,0.000000,49.982159,71.954956
15.40,0.000000,50.180496,70.564514
15.45,0.000000,50.180496,70.564514
15.50,0.000000,52.362259,70.912125
15.55,0.000000,52.362259,70.912125
15.60,0.000000,53.750652,73.345390
15.65,0.000000,53.750652,73.345390
15.70,0.000000,53.353970,67.436043
15.75,0.000000,53.353970,67.436043
15.80,0.000000,53.750652,64.655174
15.85,0.000000,53.750652,64.655174
15.90,0.000000,53.750652,64.655174
15.95,0.000000,53.750652,64.655174
16.00,0.000000,53.750652,64.655174
16.05,0.000000,53.750652,64.655174
16.10,0.000000,53.750652,64.655174
16.15,0.000000,53.750652,64.655174
16.20,0.000000,53.750652,64.655174
16.25,0.000000,53.750652,64.655174
16.30,0.000000,53.750652,64.655174
16.35,0.000000,53.750652,64.655174
16.40,0.000000,53.750652,64.655174
16.45,0.000000,53.750652,64.655174
16.50,0.000000,53.552311,62.569527
16.55,0.000000,53.552311,62.569527
16.60,0.000000,52.957287,61.526703
16.65,0.000000,52.957287,61.526703
16.70,0.000000,53.155624,60.136261
16.75,0.000000,53.155624,60.136261
16.80,0.000000,53.353970,58.745831
16.85,0.000000,53.353970,58.745831
16.90,0.000000,52.758945,55.964966
16.95,0.000000,52.758945,55.964966
17.00,1.055354,49.783817,28.156288
17.05,1.055354,49.783817,28.156288
17.10,11.784781,47.007030,18.075644
17.15,11.784781,47.007030,18.075644
17.20,28.318653,41.850140,12.513906
17.25,28.318653,41.850140,12.513906
17.30,31.660604,22.809319,12.166296
17.35,31.660604,22.809319,12.166296
17.40,31.660604,20.825899,12.166296
17.45,31.660604,20.825899,12.166296
17.50,31.836496,21.024242,10.775864
17.55,31.836496,21.024242,10.775864
17.60,31.836496,21.024242,10.775864
17.65,31.836496,21.024242,10.775864
17.70,31.836496,21.024242,10.775864
17.75,31.836496,21.024242,10.775864
17.80,31.836496,21.024242,10.775864
17.85,31.836496,21.024242,10.775864
17.90,31.836496,21.024242,10.775864
17.95,31.836496,21.024242,10.775864
18.00,31.836496,21.024242,10.775864
18.05,31.836496,21.024242,10.775864
18.10,31.836496,21.024242,10.775864
18.15,31.836496,21.024242,10.775864
18.20,32.012390,20.230873,11.123470
18.25,32.012390,20.230873,11.123470
18.30,32.012390,20.230873,11.123470
18.35,32.012390,20.230873,11.123470
18.40,32.012390,20.230873,11.123470
18.45,32.012390,20.230873,11.123470
18.50,32.012390,20.230873,11.123470
18.55,32.012390,20.230873,11.123470
18.60,32.012390,20.230873,11.123470
18.65,32.012390,20.230873,11.123470
18.70,32.012390,20.230873,11.123470
18.75,32.012390,20.230873,11.123470
18.80,32.012390,20.230873,11.123470
18.85,32.012390,20.230873,11.123470
18.90,32.012390,20.230873,11.123470
18.95,32.012390,20.230873,11.123470
19.00,32.012390,20.230873,11.123470
19.05,32.012390,20.230873,11.123470
19.10,32.012390,20.230873,11.123470
19.15,32.012390,20.230873,11.123470
19.20,32.012390,20.230873,11.123470
19.25,32.012390,20.230873,11.123470
19.30,32.012390,20.230873,11.123470
19.35,32.012390,20.230873,11.123470
19.40,32.012390,20.230873,11.123470
19.45,32.012390,20.230873,11.123470
19.50,32.012390,20.230873,11.123470
19.55,32.012390,20.230873,11.123470
19.60,32.012390,20.230873,11.123470
19.65,32.012390,20.230873,11.123470
19.70,32.012390,20.230873,11.123470
19.75,32.012390,20.230873,11.123470
19.80,31.308819,19.437506,9.733038
19.85,31.308819,19.437506,9.733038
19.90,30.781143,18.842480,10.428254
19.95,30.781143,18.842480,10.428254
20.00,30.253468,19.239162,9.385428
20.05,30.253468,19.239162,9.385428
